"Unit","Group","SampleID","Notes","Easting","Northing","Depth_upper","Depth_lower","Depth_mean","Zone","EC","EC_units","pH","MP_fibres","MP_fragments","MP_films","MP_beads","MP_other","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
"ENVT3361","7","2025-S0702","",400457,6468325,0,10,5,"Pond_N",15.85,"mS",5.63,NA,NA,NA,NA,NA,39302,62.16,86.3,5944,0.195,194.2,6.78,43.8,595.4,61985,9.53,13.982,2457,79.52,27.19,7407,49.6,7.313,33552,68.479,17.27,4388.1,307.3,25.1,8307,4.716,155.12,8.995,241.9,58.02,53.318,351.8
"ENVT3361","7","2025-S0702","",400457,6468325,10,20,15,"Pond_N",9.97,"mS",5.65,NA,NA,NA,NA,NA,57479,9.4,69.7,2136,NA,166.5,6.54,61.2,197.8,27749,14.89,12.251,2937,61.13,53.52,4162,47.9,1.827,13890,65.411,22.47,1252.3,55.2,59,2013,9.158,60.7,18.574,438.1,64.43,36.063,89.1
"ENVT3361","7","2025-S0703","",400457,6468325,0,10,5,"Pond_N",10.26,"mS",5.46,NA,NA,NA,NA,NA,34803,57.99,85.2,4267,0.173,141.4,8.45,43.6,633.7,72392,9.17,9.939,1934,66.57,22.89,4610,56.7,6.072,18252,46.976,16.95,3640.6,287.8,22,6006,4.398,143.51,8.776,229.4,52.51,36.94,457.2
"ENVT3361","7","2025-S0703","",400457,6468325,10,20,15,"Pond_N",6.67,"mS",5.85,NA,NA,NA,NA,NA,49035,5.63,64.6,1859,NA,139.9,5.89,54.9,138.6,26754,13.42,10.132,2703,51.93,47.96,3473,43,1.582,9889,54.539,20,847.3,47.7,50.8,1438,8.23,57.2,17.994,389.3,59.2,28.407,89.8
"ENVT3361","7","2025-S0703","",400457,6468325,20,30,25,"Pond_N",6.86,"mS",5.86,NA,NA,NA,NA,NA,62542,5.86,85.5,1992,0.043,142.6,8.53,53.4,131.5,25887,11.59,13.288,3350,45.13,98.82,3600,34.8,3.7,12512,69.222,29.56,654.8,28.9,48.9,2306,8.13,98.88,14.839,323.4,64.98,28.306,92.1
"ENVT3361","8","2025-S08","",400469,6468314,0,10,5,"Pond_N",15360,"µS",6.69,NA,NA,NA,NA,NA,23747,31.84,82.2,5058,0.219,102.1,11.79,33.3,396.1,118853,6.18,9.162,3079,51.33,23.06,6574,158,2.342,28068,36.383,13.08,2689.3,117.7,34.8,6493,3.907,142.92,10.149,171.1,44.07,24.505,354.7
"ENVT3361","8","2025-S08","",400469,6468314,10,20,15,"Pond_N",10650,"µS",6.33,NA,NA,NA,NA,NA,27016,37.34,80.8,2656,0.184,120.2,10.53,40.8,400.2,123582,7.43,10.495,1987,61.11,20.4,3510,80.5,2.611,14498,42.002,15.36,3157.2,193.7,27.1,3694,4.303,187.76,11.324,177.7,56.54,29.206,403.9
"ENVT3361","8","2025-S08","",400469,6468314,20,30,25,"Pond_N",18060,"µS",6.66,NA,NA,NA,NA,NA,28747,28.51,76.8,3587,0.161,118.9,10.6,35.5,296.6,100689,7.38,9.267,2190,58.89,21.8,4538,113.2,1.561,18348,41.184,14.58,2518,128.6,29.2,4283,4.758,130.04,12.685,244.8,56.78,29.307,344.1
"ENVT3361","8","2025-S08","",400469,6468314,0,10,5,"Pond_N",15360,"µS",6.69,NA,NA,NA,NA,NA,22402,31.6,78.4,5443,0.252,100,12.39,31.2,400.7,116261,5.97,8.944,3057,49.99,21.87,7014,174,2.015,29085,35.677,12.8,2666.5,113.4,32.4,6814,3.626,142.15,9.398,160.2,42.78,24.494,368.4
"ENVT3361","8","2025-S08","",400469,6468314,10,20,15,"Pond_N",10650,"µS",6.33,NA,NA,NA,NA,NA,30228,42.15,83.1,2695,0.147,127.7,11.24,38.3,394.7,126976,6.84,10.828,2100,64.06,22.2,3681,83.9,2.625,15230,44.527,16.47,3258.7,200.4,30.5,3807,4.784,183.42,12.396,218.5,62,30.971,416.3
"ENVT3361","8","2025-S08","",400469,6468314,20,30,25,"Pond_N",18060,"µS",6.66,NA,NA,NA,NA,NA,27159,24.84,72.3,3410,0.188,116,10.33,33.8,296.3,95094,7.07,9.183,2097,57.85,20.8,4389,107.8,1.536,17398,40.261,13.93,2432.8,127.9,27.8,4136,4.598,124.22,12.778,200.2,55.46,28.694,346.4
"ENVT3361","8","2025-S08","",400469,6468314,0,10,5,"Pond_N",15360,"µS",6.69,NA,NA,NA,NA,NA,25882,35.92,86.3,5535,0.266,106.3,11.67,34.9,471,132003,6.91,9.733,3233,53.29,23.56,7108,164.3,2.561,32401,38.734,13.53,2950.3,126.9,34.7,6848,3.995,154.31,10.499,199,46.68,25.868,387.2
"ENVT3361","8","2025-S08","",400469,6468314,10,20,15,"Pond_N",10650,"µS",6.33,NA,NA,NA,NA,NA,25039,36.94,73.3,2344,0.182,114.3,10.31,32.5,422.9,116892,6.65,9.862,1769,57.52,18.26,3228,76.1,2.617,13121,39.994,14.22,3001.1,186.7,23,3453,3.983,165.17,10.599,171.2,55.04,28.162,389
"ENVT3361","9","2025-S09","",400393,6468281,0,10,5,"Pond_N",NA,NA,NA,NA,NA,NA,NA,NA,59113,8.98,132,2461,0.043,158.3,6.67,53.4,92.9,54513,10.89,12.229,4244,66.56,59.44,4866,41,5.28,21309,63.071,23.61,751.6,46.2,53.6,4997,8.026,187.14,16.594,250.4,73.46,35.042,74.3
"ENVT3361","9","2025-S09","",400393,6468281,10,20,15,"Pond_N",NA,NA,NA,NA,NA,NA,NA,NA,53593,6.86,124,2018,0.044,146.2,7.23,47.3,44.1,57250,9.61,12.595,3776,54.2,61.27,3592,39.3,4.773,14003,62.525,23.23,458.1,24.2,44.1,4307,7.343,177.45,14.418,222.9,68.64,29.139,45.5
"ENVT3361","9","2025-S09","",400393,6468281,20,30,25,"Pond_N",NA,NA,NA,NA,NA,NA,NA,NA,74471,12,156,1808,0.03,81,8.32,60,40.4,72025,13.17,7.718,5752,41.8,70.24,4060,43.8,9.398,16918,34.218,20.82,409.5,29.6,62.2,6527,10.314,231.87,17.338,244.6,104.99,11.323,27.3
