Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
253,1638,GLENGARRY,GLENGARRY,662164.9,7020230,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,510000,7100,139000,19000,90000,2000,78000,105000,23600,1700,1300,15000,0.01,72,390,10,135,2,94,251,32,50,54,BASALT
254,1639,GLENGARRY,GLENGARRY,660569.1,7033546,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,518000,7700,139000,21000,86000,1600,77000,109000,18500,3200,1500,16000,3000,81,383,50,132,18,104,283,12,30,45,BASALT
255,1642,GLENGARRY,GLENGARRY,660408.8,7042690,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,534000,12400,91000,28000,79000,1700,97000,85000,40400,1400,800,21000,3000,73,887,72,163,9,83,284,22,40,86,HIGH MG BASALT
262,1860,HYDEN,HYDEN,759044.2,6439065,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,506000,5500,137000,21000,83000,1800,90000,113000,20200,1100,200,17000,1000,78,306,82,158,2,115,263,15,70,24,BASALT
263,1861,HYDEN,HYDEN,759734.1,6440404,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,498000,5000,1.00E+05,31000,74000,1900,146000,101000,14800,800,400,27000,0.01,75,1591,32,430,2,30,229,13,52,30,HIGH MG BASALT
264,1862,HYDEN,HYDEN,760475.1,6440662,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,517000,6300,133000,18000,86000,2400,80000,117000,21800,800,400,14000,0.01,78,171,50,180,4,75,281,47,78,36,BASALT
265,1863,HYDEN,HYDEN,760475.1,6440662,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,514000,6500,141000,21000,85000,2200,76000,120000,14600,700,500,14000,0.01,78,166,112,124,2,93,283,20,74,34,BASALT
266,1864,HYDEN,HYDEN,761327.3,6441164,50,,-9999,-9999,R,recrystallized,Basalt,JAH,JA Hallberg,CSIR,524000,6800,142000,26000,78000,2100,75000,111000,24300,800,300,13000,0.01,62,165,52,108,2,84,289,15,65,33,BASALT
267,1865,HYDEN,HYDEN,761780.1,6441430,50,,-9999,-9999,U,uralitized,High-Mg Basalt,JAH,JA Hallberg,CSIR,503000,5800,113000,23000,88000,2000,105000,113000,18300,800,200,18000,0.01,82,942,40,225,4,222,267,21,78,27,HIGH MG BASALT
589,1500,KIRKALOCKA,KIRKALOCKA,404723.8,6796195,50,,-9999,-9999,U,uralitized,Dolerite,JAH,JA Hallberg,CSIR,495000,10500,112000,27000,116000,2300,95000,87000,20100,4700,2300,24000,2000,97,543,68,180,17,151,289,16,78,66,DOLERITE
